seed,budget_kimg,nfe,metric,contrast,value,lower_is_better,status
4,640,2,kid50k_full,interaction_B-C-D+A,2.4097397397326902e-05,True,PASS
4,768,1,fid50k_full,B-A,0.3248739147333062,True,PASS
4,768,1,fid50k_full,C-A,1.348919684829328,True,PASS
4,768,1,fid50k_full,B-D,-0.612871680677463,True,PASS
4,768,1,fid50k_full,D-A,0.9377455954107692,True,PASS
4,768,1,fid50k_full,B-C,-1.0240457700960217,True,PASS
4,768,1,fid50k_full,interaction_B-C-D+A,-1.961791365506791,True,PASS
4,768,1,kid50k_full,B-A,0.0002353687512512987,True,PASS
4,768,1,kid50k_full,C-A,0.0010912155905906133,True,PASS
4,768,1,kid50k_full,B-D,-0.00047253308558556015,True,PASS
4,768,1,kid50k_full,D-A,0.0007079018368368589,True,PASS
4,768,1,kid50k_full,B-C,-0.0008558468393393146,True,PASS
4,768,1,kid50k_full,interaction_B-C-D+A,-0.0015637486761761734,True,PASS
4,768,2,fid50k_full,B-A,0.04678281980889443,True,PASS
4,768,2,fid50k_full,C-A,0.07601278126833,True,PASS
4,768,2,fid50k_full,B-D,-0.05620544247909676,True,PASS
4,768,2,fid50k_full,D-A,0.10298826228799118,True,PASS
4,768,2,fid50k_full,B-C,-0.02922996145943557,True,PASS
4,768,2,fid50k_full,interaction_B-C-D+A,-0.13221822374742676,True,PASS
4,768,2,kid50k_full,B-A,-1.661666166166936e-05,True,PASS
4,768,2,kid50k_full,C-A,7.254582082114004e-06,True,PASS
4,768,2,kid50k_full,B-D,-0.00012062092342341661,True,PASS
4,768,2,kid50k_full,D-A,0.00010400426176174725,True,PASS
4,768,2,kid50k_full,B-C,-2.3871243743783365e-05,True,PASS
4,768,2,kid50k_full,interaction_B-C-D+A,-0.00012787550550553061,True,PASS
4,896,1,fid50k_full,B-A,0.24834228421119597,True,PASS
4,896,1,fid50k_full,C-A,0.8792417841066751,True,PASS
4,896,1,fid50k_full,B-D,-0.2868600081002519,True,PASS
4,896,1,fid50k_full,D-A,0.5352022923114479,True,PASS
4,896,1,fid50k_full,B-C,-0.6308994998954791,True,PASS
