budget_kimg,nfe,metric,contrast,paired_seed_count,mean,sample_std,min,max,negative_count,positive_count,zero_count
896,2,fid50k_full,B-D,3,-0.02478609903623615,0.08728246802237756,-0.12179894601758301,0.04737639903387025,1,2,0
896,2,fid50k_full,C-A,3,0.05407923901180093,0.14511651677580276,-0.08113852890428719,0.2073964648683151,1,2,0
896,2,fid50k_full,D-A,3,-0.0371568000370092,0.09469637247163178,-0.09369015425872762,0.07216780607908246,2,1,0
896,2,fid50k_full,interaction_B-C-D+A,3,-0.07886533804803708,0.2318581527530454,-0.3291954108858981,0.12851492793815744,2,1,0
896,2,kid50k_full,B-A,3,-0.00012243208041370815,0.00018986936979915487,-0.00032792504254249726,4.649490740743663e-05,2,1,0
896,2,kid50k_full,B-C,3,-0.0001947836945278384,0.00041503967132662214,-0.0006729498523523174,7.215208458459976e-05,1,2,0
896,2,kid50k_full,B-D,3,-9.436338004666176e-06,7.882776042538852e-05,-7.904286786785189e-05,7.616076576577135e-05,2,1,0
896,2,kid50k_full,C-A,3,7.235161411413026e-05,0.00025417562382884664,-0.00015801819069066357,0.0003450248098098201,1,2,0
896,2,kid50k_full,D-A,3,-0.00011299574240904197,0.00016592721109849186,-0.0002488821746746454,7.192181931935462e-05,2,1,0
896,2,kid50k_full,interaction_B-C-D+A,3,-8.178795211879644e-05,0.0003299112472930125,-0.000424067677677672,0.00023417895645643492,2,1,0
1024,1,fid50k_full,B-A,3,-0.4501617173115872,0.6189966673609899,-0.9830543644280265,0.22880847730252363,2,1,0
1024,1,fid50k_full,B-C,3,-0.8412530478466363,1.0724193137822864,-1.9856503400611007,0.1406397680414475,2,1,0
1024,1,fid50k_full,B-D,3,-0.06840067228224307,0.056267525429608826,-0.12284777204265218,-0.010474200493338692,3,0,0
1024,1,fid50k_full,C-A,3,0.39109133053504913,0.9780061118979563,-0.7368790328507062,1.0025959756330742,1,2,0
1024,1,fid50k_full,D-A,3,-0.3817610450293441,0.6067393149782573,-0.8602065923853743,0.300688521613262,2,1,0
1024,1,fid50k_full,interaction_B-C-D+A,3,-0.4594920028172922,1.0296081602000868,-1.1254437476757264,0.7264048323573675,2,1,0
1024,1,kid50k_full,B-A,3,-0.00023590466716716182,0.0003639119088410148,-0.0005628548748748876,0.00015617391141142453,2,1,0
1024,1,kid50k_full,B-C,3,-0.0006148777494160701,0.0007606882241882849,-0.001378458671171188,0.00014288439439443228,2,1,0
1024,1,kid50k_full,B-D,3,0.00010408820236903632,6.550322296781211e-05,3.086195945947116e-05,0.00015710590340340357,0,3,0
1024,1,kid50k_full,C-A,3,0.00037897308224890826,0.0007130889892530556,-0.0004439174324324547,0.0008156037962963004,1,2,0
1024,1,kid50k_full,D-A,3,-0.00033999286953619815,0.00041891900686095334,-0.0006871516191191218,0.00012531195195195338,2,1,0
1024,1,kid50k_full,interaction_B-C-D+A,3,-0.0002748848798798719,0.0007588643001374538,-0.0007343709234234079,0.0006010233358358583,2,1,0
1024,2,fid50k_full,B-A,3,-0.03774105821542495,0.0620229916148155,-0.10115148424221188,0.022794518863958224,2,1,0
1024,2,fid50k_full,B-C,3,-0.08863959354853194,0.14330491459718012,-0.2532750715252132,0.008088839081939803,2,1,0
1024,2,fid50k_full,B-D,3,-0.005546494104352373,0.012746883897871175,-0.01976409096797571,0.004860486201374581,2,1,0
1024,2,fid50k_full,C-A,3,0.05089853533310699,0.16394892836287792,-0.10924032332415168,0.21840886225719203,1,2,0
1024,2,fid50k_full,D-A,3,-0.03219456411107258,0.06692862738629335,-0.10601197044358646,0.024530396410414212,2,1,0
1024,2,fid50k_full,interaction_B-C-D+A,3,-0.05644502943745936,0.17640289183118155,-0.23817295322516774,0.11410080952552626,2,1,0
1024,2,kid50k_full,B-A,3,-3.959215048379973e-05,6.874193723447479e-05,-9.264481981980668e-05,3.806650900903155e-05,2,1,0
1024,2,kid50k_full,B-C,3,-0.00011323134551218424,0.00021919987994335036,-0.0003654944169169268,3.081929929927825e-05,2,1,0
1024,2,kid50k_full,B-D,3,2.865284784785977e-05,2.0011529026224735e-05,6.55772272275504e-06,4.555834334335951e-05,0,3,0
1024,2,kid50k_full,C-A,3,7.363919502838452e-05,0.00021402219017460053,-0.00012346411911908493,0.0003012962762763028,1,2,0
1024,2,kid50k_full,D-A,3,-6.82449983316595e-05,8.869256262689471e-05,-0.00013820316316316618,3.150878628627651e-05,2,1,0
1024,2,kid50k_full,interaction_B-C-D+A,3,-4.498634718052475e-05,0.00021836103848719697,-0.000267453798798838,0.00016902246246244443,2,1,0
