control,eta_scale,g,K,noise,error
fixed_lr,0.1,0.85,50,0.0,9.883759195503997e-05
fixed_lr,0.1,0.85,50,0.01,0.00010090202146083958
fixed_lr,0.1,0.85,50,0.05,0.0001504483296000297
fixed_lr,0.1,0.85,200,0.0,9.875695121693306e-05
fixed_lr,0.1,0.85,200,0.01,0.00010623697236849633
fixed_lr,0.1,0.85,200,0.05,0.00028575748000601403
fixed_lr,0.1,0.85,1000,0.0,9.862436692260445e-05
fixed_lr,0.1,0.85,1000,0.01,0.00013496375497316449
fixed_lr,0.1,0.85,1000,0.05,0.0010071090681866054
fixed_lr,0.1,0.9,50,0.0,9.88023489111975e-05
fixed_lr,0.1,0.9,50,0.01,0.00010083996924920488
fixed_lr,0.1,0.9,50,0.05,0.00014974285736138294
fixed_lr,0.1,0.9,200,0.0,9.875281621461154e-05
fixed_lr,0.1,0.9,200,0.01,0.00010620579797677053
fixed_lr,0.1,0.9,200,0.05,0.0002850773602685868
fixed_lr,0.1,0.9,1000,0.0,9.860419315193964e-05
fixed_lr,0.1,0.9,1000,0.01,0.0001349130239322507
fixed_lr,0.1,0.9,1000,0.05,0.001006324962659717
fixed_lr,0.1,0.95,50,0.0,9.878740902323622e-05
fixed_lr,0.1,0.95,50,0.01,0.00010080230059536906
fixed_lr,0.1,0.95,50,0.05,0.00014915969832655806
fixed_lr,0.1,0.95,200,0.0,9.87484518338022e-05
fixed_lr,0.1,0.95,200,0.01,0.00010617852653962837
fixed_lr,0.1,0.95,200,0.05,0.0002845003194794576
fixed_lr,0.1,0.95,1000,0.0,9.858287776153922e-05
fixed_lr,0.1,0.95,1000,0.01,0.00013486508311145873
fixed_lr,0.1,0.95,1000,0.05,0.0010056380115095282
fixed_lr,0.1,1.0,50,0.0,9.878097874342524e-05
fixed_lr,0.1,1.0,50,0.01,0.00010077645343319502
fixed_lr,0.1,1.0,50,0.05,0.00014866784598766984
fixed_lr,0.1,1.0,200,0.0,9.874385810414151e-05
fixed_lr,0.1,1.0,200,0.01,0.00010615435188671582
fixed_lr,0.1,1.0,200,0.05,0.0002840062026685003
fixed_lr,0.1,1.0,1000,0.0,9.85604214897131e-05
fixed_lr,0.1,1.0,1000,0.01,0.0001348191271368561
fixed_lr,0.1,1.0,1000,0.05,0.0010050280626682884
fixed_lr,0.1,1.05,50,0.0,9.877785278322825e-05
fixed_lr,0.1,1.05,50,0.01,0.00010075661792255154
fixed_lr,0.1,1.05,50,0.05,0.00014824698126631028
fixed_lr,0.1,1.05,200,0.0,9.87390350568647e-05
fixed_lr,0.1,1.05,200,0.01,0.00010613265510174021
fixed_lr,0.1,1.05,200,0.05,0.0002835795361787522
fixed_lr,0.1,1.05,1000,0.0,9.853682511434243e-05
fixed_lr,0.1,1.05,1000,0.01,0.00013477453793393228
fixed_lr,0.1,1.05,1000,0.05,0.0010044796456040886
fixed_lr,0.1,1.1,50,0.0,9.877589827001617e-05
fixed_lr,0.1,1.1,50,0.01,0.00010074018480559933
fixed_lr,0.1,1.1,50,0.05,0.00014788306165959626
fixed_lr,0.1,1.1,200,0.0,9.873398272480053e-05
fixed_lr,0.1,1.1,200,0.01,0.0001061129546619035
fixed_lr,0.1,1.1,200,0.05,0.0002832082811523748
fixed_lr,0.1,1.1,1000,0.0,9.851208945285514e-05
fixed_lr,0.1,1.1,1000,0.01,0.0001347308348636658
fixed_lr,0.1,1.1,1000,0.05,0.0010039807247231227
fixed_lr,0.1,1.15,50,0.0,9.877430421064963e-05
fixed_lr,0.1,1.15,50,0.01,0.00010072596563649909
fixed_lr,0.1,1.15,50,0.05,0.00014756583985688564
fixed_lr,0.1,1.15,200,0.0,9.872870114238035e-05
fixed_lr,0.1,1.15,200,0.01,0.00010609487140679918
fixed_lr,0.1,1.15,200,0.05,0.00028288295775285124
fixed_lr,0.1,1.15,1000,0.0,9.848621536222402e-05
fixed_lr,0.1,1.15,1000,0.01,0.00013468763968746582
fixed_lr,0.1,1.15,1000,0.05,0.0010035218234932695
fixed_lr,0.1,1.2,50,0.0,9.877278470149298e-05
fixed_lr,0.1,1.2,50,0.01,0.00010071337319303238
fixed_lr,0.1,1.2,50,0.05,0.00014728749698997753
fixed_lr,0.1,1.2,200,0.0,9.872319034561517e-05
fixed_lr,0.1,1.2,200,0.01,0.00010607810350605717
fixed_lr,0.1,1.2,200,0.05,0.00028259601935666496
fixed_lr,0.1,1.2,1000,0.0,9.845920373880676e-05
fixed_lr,0.1,1.2,1000,0.01,0.00013464465154610126
fixed_lr,0.1,1.2,1000,0.05,0.0010030953989211683
fixed_lr,0.1,1.25,50,0.0,9.877124641319472e-05
fixed_lr,0.1,1.25,50,0.01,0.00010070207159464148
fixed_lr,0.1,1.25,50,0.05,0.00014704187594936352
fixed_lr,0.1,1.25,200,0.0,9.871745037211734e-05
fixed_lr,0.1,1.25,200,0.01,0.00010606240828509154
fixed_lr,0.1,1.25,200,0.05,0.00028234139819647273
fixed_lr,0.1,1.25,1000,0.0,9.843105551840421e-05
fixed_lr,0.1,1.25,1000,0.01,0.00013460162877417875
fixed_lr,0.1,1.25,1000,0.05,0.0010026953869127675
fixed_lr,0.1,1.3,50,0.0,9.876966118183757e-05
fixed_lr,0.1,1.3,50,0.01,0.00010069183578731421
fixed_lr,0.1,1.3,50,0.05,0.0001468240263187539
fixed_lr,0.1,1.3,200,0.0,9.871148126108735e-05
fixed_lr,0.1,1.3,200,0.01,0.00010604758884973543
fixed_lr,0.1,1.3,200,0.05,0.0002821141709772898
fixed_lr,0.1,1.3,1000,0.0,9.84017716761407e-05
fixed_lr,0.1,1.3,1000,0.01,0.00013455837553105892
fixed_lr,0.1,1.3,1000,0.05,0.0010023168680490973
fixed_lr,0.1,1.35,50,0.0,9.87680211671123e-05
fixed_lr,0.1,1.35,50,0.01,0.00010068249681044814
fixed_lr,0.1,1.35,50,0.05,0.00014662991225050914
fixed_lr,0.1,1.35,200,0.0,9.870528305331708e-05
fixed_lr,0.1,1.35,200,0.01,0.00010603348411022893
fixed_lr,0.1,1.35,200,0.05,0.00028191030947611375
