layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual
model.dec.16x16_up.skip,1.2,1.8014477385421255,0.8308456875515032,0.9998134928083626,0.019312679729707682
model.dec.16x16_up.skip,1.3,1.6608188171580476,0.7659198624348889,0.9997268727427605,0.023370492420579106
model.dec.32x32_aux_conv,0.9,100.5855317246113,1.1120651243252941,0.9999994049430211,0.0010909232804544582
model.dec.32x32_aux_conv,1.0,90.44926386978939,1.0,1.0,0.0
model.dec.32x32_aux_conv,1.2,75.21579977747078,0.831579022684235,0.9999988124021402,0.0015411665416999838
model.dec.32x32_aux_conv,1.3,69.35510611674201,0.7667826814613055,0.9999974474775739,0.002259433189331581
model.dec.32x32_aux_norm,0.9,146.3544311844967,1.1113472260316133,0.9999990598721267,0.001371223855795025
model.dec.32x32_aux_norm,1.0,131.69087946997166,1.0,1.0,0.0
model.dec.32x32_aux_norm,1.2,109.60997115404116,0.8323254994500862,0.9999973166111367,0.002316629129971957
model.dec.32x32_aux_norm,1.3,101.11295823839029,0.7678008063971593,0.9999941176066321,0.0034299784450152163
model.dec.32x32_block0.affine,0.9,1.1111691746249397,1.1142700000270864,0.999976828876955,0.006807474508900278
model.dec.32x32_block0.affine,1.0,0.9971940620857246,1.0,1.0,0.0
model.dec.32x32_block0.affine,1.2,0.8257916381762999,0.8280682663764051,0.9999432302993134,0.010655335685667787
model.dec.32x32_block0.affine,1.3,0.7602425119999191,0.7622801035637927,0.9998667279474448,0.016325634556433967
model.dec.32x32_block0.conv0,0.9,0.8070052343320061,1.1140878964629102,0.9999822806400346,0.005953016542490246
model.dec.32x32_block0.conv0,1.0,0.724351226934482,1.0,1.0,0.0
model.dec.32x32_block0.conv0,1.2,0.5997770639557445,0.8279903196873544,0.9999645534956018,0.008419724006269074
model.dec.32x32_block0.conv0,1.3,0.5522205909512542,0.7623063975010497,0.999922102467621,0.012481546247675569
model.dec.32x32_block0.conv1,0.9,0.33385032918661234,1.1143004875741147,0.9999818731337753,0.006021079958436184
model.dec.32x32_block0.conv1,1.0,0.2995998666869033,1.0,1.0,0.0
model.dec.32x32_block0.conv1,1.2,0.24812516321822436,0.8281590751493974,0.9999644747521715,0.008429070744362518
model.dec.32x32_block0.conv1,1.3,0.22834842611206682,0.7621193654018757,0.9999230744067014,0.012403437791610081
model.dec.32x32_block0.norm0,0.9,4.8259794654870225,1.1142096036075895,0.999990506745995,0.004357340689885348
model.dec.32x32_block0.norm0,1.0,4.331261941750205,1.0,1.0,0.0
model.dec.32x32_block0.norm0,1.2,3.583209113852809,0.8272706891501022,0.9999768189885468,0.006808926901297123
model.dec.32x32_block0.norm0,1.3,3.2983977262219915,0.7614911809860458,0.9999454416799759,0.0104457485819796
model.dec.32x32_block0.norm1,0.9,2.439705921634863,1.1137053675091018,0.9999907464333857,0.0043019818223851225
