layer,update_1_l2,update_1p3_l2,update_cosine,s_K_star_layer,c_K_star_layer,R_opt_layer,layer_residual_with_global_c_star,support_atol,support_coordinate_count,coordinate_count,support_coordinate_coverage,support_energy_coverage,h_update_weighted_mean,h_update_weighted_std,h_update_p05,h_update_p50,h_update_p95,h_moment_coordinate_count,h_moment_weighted_mean,h_moment_weighted_std,h_moment_p50,h_update_minus_moment_weighted_rmse,h_update_minus_moment_eps_weighted_rmse,off_support_candidate_energy_exact,predicted_1_l2,predicted_1p3_l2,s_K_star_predicted_layer,c_K_star_predicted_layer,R_pred_layer,predicted_layer_residual_with_global_c_star,predicted_off_support_candidate_energy_exact
model.dec.16x16_block3.conv1,0.014318985684495043,0.013808578690151656,0.9957609263832325,0.9602665587849611,1.0325672735768314,0.08870058036901034,0.09202041554335479,0.0,589449,590080,0.9989306534707159,1.0,0.9602665587849614,0.08865722317093679,0.4117647058823529,0.9614035087719298,1.5,589449,0.9602666376024177,0.08869879835092613,0.9613504930287914,0.0023661980399370397,0.0023661980357664674,7.724837053784542e-08,0.01431898993490146,0.013808572586175863,0.9602666122778983,1.032568856984095,0.08869225410437939,0.09201187655995066,0.0
model.dec.16x16_block3.norm0,0.0006126665190115615,0.0005956101214746645,0.9967267911713689,0.9689783050727289,1.025269906496211,0.07859304243186788,0.08095897908743115,0.0,1023,1024,0.9990234375,1.0,0.9689783050727289,0.07857353065866667,0.4771647672808606,0.9641943734015346,1.5432900432900427,1023,0.9689094477156488,0.0784832394169206,0.9641932397921389,0.0020184246895271624,0.0020184246897056693,5.6397327640558794e-11,0.0006126852552274763,0.0005955849330641042,0.9689099953982672,1.0253470556469537,0.078558964616923,0.08092591132375031,0.0
model.dec.16x16_block3.norm1,0.00046281875697037043,0.0004481622894932508,0.9970906158136011,0.9655149159044707,1.0296989510640693,0.07381145748315018,0.0762253502919896,0.0,512,512,1.0,1.0,0.9655149159044707,0.0738114574831502,0.4301923076923077,0.9716115107913669,1.5,512,0.9654357512957917,0.07368878149588232,0.968851008189522,0.004612489626646435,0.0046124896270363595,0.0,0.00046280725471221305,0.0004481114246152803,0.9654417530480613,1.0298034927229722,0.07364218743057052,0.07605733581085845,0.0
model.dec.16x16_block3.skip,0.006279026598717492,0.006071594372005255,0.9958930705687477,0.9629930160861696,1.0299171348487755,0.08754627708226269,0.09053745727245002,0.0,131297,131328,0.9997639498050682,1.0000000000000002,0.9629930160861693,0.08753822817662958,0.41825174825174827,0.9632314318730959,1.5033910736579272,131297,0.9629934889345119,0.08754341459625252,0.9632421468328916,0.0007143582750026724,0.0007143582749658902,2.722215496109808e-09,0.006279023915581771,0.006071595078360536,0.9629936453132063,1.0299166879653825,0.08754516208780112,0.09053625239134588,0.0
model.dec.16x16_block4.affine,0.007347390673307555,0.006995216115445672,0.9977117477137641,0.9498895058801845,1.0479416030643183,0.0643704237435907,0.06980314057895538,0.0,131287,131328,0.9996878045808967,1.0,0.9498895058801845,0.06435558923256696,0.5625,0.9463087248322147,1.2769230769230768,131287,0.9498902539377514,0.06436306106859231,0.9462340411630017,0.0007918015987119423,0.0007918016026101971,5.050787841058288e-09,0.007347387869072636,0.006995217239616149,0.9498901604823937,1.0479411884939043,0.06436840139236524,0.06980076824183645,0.0
model.dec.16x16_block4.conv0,0.019376260717325903,0.018698288938703584,0.9962412381404415,0.9613829414849355,1.0323634441012723,0.08359124895982227,0.08665991020364679,0.0,1178923,1179904,0.9991685764265568,1.0000000000000002,0.9613829414849352,0.08355875400062383,0.44285714285714284,0.9616161616161616,1.4766839378238341,1178923,0.961382555223243,0.08358546147031318,0.9616154568857187,0.0018204236281254324,0.00182042362628023,9.991153489648963e-08,0.019376258935412182,0.01869826838854855,0.9613825642761609,1.0323651183810874,0.08358436767693042,0.08665289524928517,0.0
model.dec.16x16_block4.conv1,0.013890410089336794,0.01334951772297004,0.995930273656895,0.9571487633206307,1.0362831233727812,0.08661752996300091,0.09034803231723552,0.0,589483,590080,0.9989882727765727,0.9999999999999999,0.9571487633206308,0.08657615041152074,0.4220964518382302,0.9574468085106383,1.4912280701754386,589483,0.9571497038429821,0.08661475929036688,0.9574216062632184,0.002248099187283806,0.0022480991838804295,6.774874626962516e-08,0.013890410926556247,0.013349517884794737,0.9571497659135089,1.0362843086535802,0.08660593678660888,0.09033603075703213,0.0
model.dec.16x16_block4.norm0,0.0005399876326419881,0.0005206873001083937,0.9969062219708399,0.9612746251975802,1.0338585762626404,0.07579081590438799,0.07870176702228282,0.0,1021,1024,0.9970703125,1.0,0.9612746251975802,0.07555959280323447,0.4426229508196721,0.9574468085106383,1.421875,1021,0.9614198810909359,0.07559001315437633,0.9569104705233797,0.0022296907496002875,0.0022296907490725756,4.999605688752932e-10,0.0005399239664623368,0.000520703551033013,0.9614191603656328,1.0337056865870353,0.07578716127723739,0.07867891633995498,0.0
model.dec.16x16_block4.norm1,0.00039459198712136904,0.0003765901767222642,0.9971943571255463,0.951701026460142,1.04486236563356,0.07144092769002634,0.07623955632605188,0.0,512,512,1.0,1.0,0.951701026460142,0.07144092769002636,0.33578629032258067,0.953878332387975,1.2857142857142858,512,0.9517310510552545,0.07126406291509539,0.9543697743939669,0.004043326435371093,0.00404332643439038,0.0,0.0003946259940444989,0.00037663018734674595,0.9517388542701171,1.0448619755857786,0.0711923229491816,0.07598218566789053,0.0
model.dec.16x16_block4.norm2,0.0003707816823098742,0.0003566824552871767,0.9956886493609151,0.9578269075839029,1.0350470200998398,0.08923116088357884,0.09290020531872736,0.0,512,512,1.0,1.0,0.9578269075839029,0.08923116088357884,0.4506211056432769,0.9644068916894333,1.63668284789644,512,0.957829093492955,0.0892364671629971,0.9642851802027677,0.0005526582173034858,0.0005526582172992997,0.0,0.00037078074729677597,0.00035668171276298104,0.9578276322825883,1.0350468924142369,0.08922794472141722,0.09289677851708825,0.0
