batch_index,gap,loss_mean,grad_l2,grad_l2_sq,grad_linf,dot_to_g1,t_mean,t_min,t_max,gap_mean,scalar_fit_to_g1,direction_residual_to_g1
27,1.0,15.572218894958496,445.072139526369,198089.2093825797,42.5625,198089.2093825797,2.645787239074707,0.0012746715219691396,57.96770095825195,0.027707111090421677,1.0,0.0
27,0.9,15.633190155029297,493.54206247457927,243583.7674316615,46.8125,219639.4282262934,2.645787239074707,0.0012746715219691396,57.96770095825195,0.02493639662861824,1.109149819671605,0.014282331515550318
27,1.2,15.50871467590332,369.36316991462894,136429.15128938307,34.90625,164370.73512893752,2.645787239074707,0.0012746715219691396,57.96770095825195,0.03324853628873825,0.8252568972250803,0.017426857777628882
27,1.3,15.494383811950684,338.60832258781716,114655.59612573526,32.90625,150676.29527727436,2.645787239074707,0.0012746715219691396,57.96770095825195,0.03601923957467079,0.7553912042256966,0.020745855407768393
28,1.0,14.347517013549805,437.55408795933783,191453.57988992793,49.34375,191453.57988992793,3.5124409198760986,0.002693676855415106,129.35459899902344,0.02796458825469017,1.0,0.0
28,0.9,14.385160446166992,492.15497651732284,242216.52091076662,55.09375,215319.8661835895,3.5124409198760986,0.002693676855415106,129.35459899902344,0.025168130174279213,1.109149819671605,0.020448836537517834
28,1.2,14.333273887634277,364.21557371408267,132652.9841358784,40.8125,159338.448894838,3.5124409198760986,0.002693676855415106,129.35459899902344,0.033557504415512085,0.8252568972250803,0.01978664035099719
28,1.3,14.32754135131836,333.95611422805524,111526.68623030187,37.34375,146090.74497408626,3.5124409198760986,0.002693676855415106,129.35459899902344,0.03635396063327789,0.7553912042256966,0.023541818833727322
29,1.0,13.619023323059082,543.3799324341295,295261.75097211916,40.625,295261.75097211916,1.7946317195892334,0.007780798710882664,24.163461685180664,0.027005860581994057,1.0,0.0
29,0.9,13.661153793334961,593.5535996416941,352305.8756476125,45.15625,322436.5697907937,1.7946317195892334,0.007780798710882664,24.163461685180664,0.024305274710059166,1.109149819671605,0.0281859607607329
29,1.2,13.607394218444824,443.7129358578664,196881.16944760707,33.75,240988.26816393982,1.7946317195892334,0.007780798710882664,24.163461685180664,0.03240703046321869,0.8252568972250803,0.03300072076293875
29,1.3,13.603015899658203,403.5427009462656,162846.71148700715,31.40625,219211.0377338202,1.7946317195892334,0.007780798710882664,24.163461685180664,0.03510762006044388,0.7553912042256966,0.030103317013648653
30,1.0,16.43647003173828,454.1508674903396,206253.01044222797,50.59375,206253.01044222797,1.4681487083435059,0.0022778240963816643,24.95170783996582,0.029832955449819565,1.0,0.0
30,0.9,16.477672576904297,495.32036634738483,245342.2653185075,55.625,224922.80263137686,1.4681487083435059,0.0022778240963816643,24.95170783996582,0.0268496572971344,1.109149819671605,0.02313328245775423
30,1.2,16.382543563842773,373.46507681446633,139476.16360003522,41.84375,169583.74118444722,1.4681487083435059,0.0022778240963816643,24.95170783996582,0.0357995480298996,0.8252568972250803,0.017812741787077997
30,1.3,16.36814308166504,342.57319215120117,117356.39198066379,38.78125,155538.45231408288,1.4681487083435059,0.0022778240963816643,24.95170783996582,0.038782842457294464,0.7553912042256966,0.02314663966758988
31,1.0,15.298158645629883,511.6994061119494,261836.2822153217,51.28125,261836.2822153217,3.2541372776031494,0.004718804731965065,171.42869567871094,0.02837604656815529,1.0,0.0
31,0.9,15.326404571533203,559.550487098467,313096.74761213164,56.59375,286295.7377087402,3.2541372776031494,0.004718804731965065,171.42869567871094,0.02553844451904297,1.109149819671605,0.019699098540190165
31,1.2,15.259597778320312,415.64537730939634,172761.07967867044,41.96875,212649.3567499437,3.2541372776031494,0.004718804731965065,171.42869567871094,0.034051261842250824,0.8252568972250803,0.02450086002547949
31,1.3,15.261523246765137,379.7053355678587,144176.1418587002,38.75,194228.46217034632,3.2541372776031494,0.004718804731965065,171.42869567871094,0.036888860166072845,0.7553912042256966,0.03194576337766082
32,1.0,15.419492721557617,674.3251484614452,454714.40584755014,51.84375,454714.40584755014,1.4427870512008667,0.0033505754545331,30.915014266967773,0.02955486811697483,1.0,0.0
32,0.9,15.479743957519531,754.4345826041477,569171.5394290946,58.59375,508711.8919349909,1.4427870512008667,0.0033505754545331,30.915014266967773,0.026599381119012833,1.109149819671605,0.012703550640242447
32,1.2,15.356283187866211,562.266842090412,316144.00171432423,43.375,379121.59904018324,1.4427870512008667,0.0033505754545331,30.915014266967773,0.03546583652496338,0.8252568972250803,0.016040168929143086
32,1.3,15.343400955200195,512.4059980806078,262559.9068689838,40.09375,345485.4300130396,1.4427870512008667,0.0033505754545331,30.915014266967773,0.038421325385570526,0.7553912042256966,0.01677150858831346
33,1.0,14.722027778625488,576.1628993598475,331963.68659874576,52.90625,331963.68659874576,4.967490196228027,0.007897576317191124,425.872314453125,0.02921069972217083,1.0,0.0
33,0.9,14.751416206359863,661.1232449176184,437083.94497040124,58.8125,380852.4952293191,4.967490196228027,0.007897576317191124,425.872314453125,0.02628963254392147,1.109149819671605,0.03781872727447235
