layer,gap,mean_grad_l2,scalar_fit_to_g1,cosine_to_g1,direction_residual,gradient_variance_trace,normalized_noise_scale
model.dec.16x16_block1.conv0,1.0,0.1544116477988414,1.0,1.0,0.0,0.3429375580057024,14.383180674761457
model.dec.16x16_block1.conv0,1.2,0.125707667205572,0.8130905041150883,0.9987508903867112,0.04996657834744613,0.23690068828103136,14.991420576493281
model.dec.16x16_block1.conv0,1.3,0.1149359725216634,0.7429655381703129,0.9981429702959865,0.060914783498798954,0.2011224752016353,15.224696903325754
model.dec.16x16_block1.conv1,0.9,0.0882451232427213,1.1193264121678634,0.9991645902562836,0.04086712098977736,0.10875814539832823,13.96626779747763
model.dec.16x16_block1.conv1,1.0,0.07877184121489841,1.0,1.0,0.0,0.08782299519441578,14.153578272545362
model.dec.16x16_block1.conv1,1.2,0.06434263925331599,0.8156369593893342,0.9985481758227381,0.05386594992276812,0.06064558922068306,14.648780707335714
model.dec.16x16_block1.conv1,1.3,0.05889976443853852,0.7460650118756403,0.9977784327606977,0.06661981024895189,0.051498376654303214,14.844529035831316
model.dec.16x16_block1.norm0,0.9,0.6157210344555606,1.122440768736127,0.9998120140338586,0.019389084391979724,1.032623818071471,2.723793363455271
model.dec.16x16_block1.norm0,1.0,0.5484523590810043,1.0,1.0,0.0,0.8353651700385974,2.7771449378522024
model.dec.16x16_block1.norm0,1.2,0.4461204604005153,0.8130326360862015,0.999527497284027,0.030737309139374346,0.5766283818243733,2.897288424155295
model.dec.16x16_block1.norm0,1.3,0.40841892037557503,0.7440800416502272,0.9992006585123048,0.03997554288032526,0.48775919430360115,2.924110354803334
model.dec.16x16_block1.norm1,0.9,0.47663814947741723,1.125749435131801,0.9997029105365186,0.024373975154109787,0.41475777261438385,1.8256475304471582
model.dec.16x16_block1.norm1,1.0,0.42327051689750733,1.0,1.0,0.0,0.33549328364715786,1.8726119617382313
model.dec.16x16_block1.norm1,1.2,0.34316501343878447,0.8100083563079101,0.9990897738382332,0.042657048794639364,0.23148453077296707,1.9656942447017685
model.dec.16x16_block1.norm1,1.3,0.31294284090230534,0.7380700460015233,0.9982758799558478,0.058696401068359966,0.19574108643616026,1.9987199756557505
model.dec.16x16_block1.skip,0.9,1.8210249516936898,1.1197764010887863,0.9994083800266677,0.034393166944495734,28.71531141528259,8.659279093946846
model.dec.16x16_block1.skip,1.0,1.6252776850724402,1.0,1.0,0.0,23.18633438224127,8.777623519652753
model.dec.16x16_block1.skip,1.2,1.3254858157745717,0.8146513825296668,0.9989052296007833,0.04677972077948351,15.995127893865083,9.10411107445544
model.dec.16x16_block1.skip,1.3,1.2120828360209515,0.7444568850598559,0.9982396638486906,0.05930913520911344,13.574801807428706,9.239934548799463
model.dec.16x16_block2.affine,0.9,0.31651670768875656,1.1200446528579182,0.9997007714551934,0.024461552524140888,0.07886516545287822,0.7872124236056369
model.dec.16x16_block2.affine,1.0,0.28250837682901486,1.0,1.0,0.0,0.06388748151024241,0.8004848346173242
model.dec.16x16_block2.affine,1.2,0.23010239504586566,0.8138224301598814,0.999171059152534,0.04070865450986134,0.04435595193400728,0.8377407206187882
