arm,batch_id,direction_id,regime,status,finest_relative_change,finest_cosine,finest_norm_ratio,selected_jvp_l2,finite,source_preserved,amp_branch_pairing,amp_sweep_pairing,discrete_state_pairing,receipt
C,2026082601,2026082614,E_full_field_pseudohuber_fp32,PASS,0.006411751836510945,0.9999798146702981,0.9991194021775883,10918.17156761827,True,True,,,,formal/shard1/armC_batch2026082601_dir2026082614_E_full_field_pseudohuber_fp32.json
C,2026082602,2026082611,A_squared_gn_fp32,PASS,0.02999553613770892,0.9995537825526444,0.9968158264739346,6.827264339764093,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082611_A_squared_gn_fp32.json
C,2026082602,2026082611,B_real_loss_gn_fp32,PASS,0.030292495591706964,0.9995535126556601,0.9945675371801775,77.01177300004842,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082611_B_real_loss_gn_fp32.json
C,2026082602,2026082611,C_full_field_fp32,PASS,0.004495534469154153,0.999989898367349,1.0000715494728034,19480.103977221108,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082611_C_full_field_fp32.json
C,2026082602,2026082611,D_production_algorithmic,FAIL_CLOSED,1.1978797302924167,0.5746814785398584,1.4494240978412087,6779.0182618530935,True,True,True,True,True,formal/shard1/armC_batch2026082602_dir2026082611_D_production_algorithmic.json
C,2026082602,2026082611,E_full_field_pseudohuber_fp32,PASS,0.006346620913462047,0.9999798835684024,1.0001969975841614,11705.04570688791,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082611_E_full_field_pseudohuber_fp32.json
C,2026082602,2026082612,A_squared_gn_fp32,PASS,0.003776051157848222,0.9999931899991936,0.9991940610291558,27.069407818311333,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082612_A_squared_gn_fp32.json
C,2026082602,2026082612,B_real_loss_gn_fp32,PASS,0.007513583257523057,0.999972235136446,0.9990104778151371,153.0998553774784,True,True,,,,formal/shard0/armC_batch2026082602_dir2026082612_B_real_loss_gn_fp32.json
C,2026082602,2026082612,C_full_field_fp32,PASS,0.002884450872801189,0.9999964130908088,0.9989257818181078,26671.768481702,True,True,,,,formal/shard1/armC_batch2026082602_dir2026082612_C_full_field_fp32.json
C,2026082602,2026082612,D_production_algorithmic,FAIL_CLOSED,0.5477223573053663,0.845815088195622,0.9699236862519962,4982.401366662161,True,True,True,True,True,formal/shard0/armC_batch2026082602_dir2026082612_D_production_algorithmic.json
