training_seed,audit_batch_id,audit_seed,cell,gradient_mode,state_mode,a_star,R_grad,R_opt,control_update_norm,treatment_update_norm,update_norm_ratio,update_cosine,absolute_non_scalar_update_residual_l2,residual_norm_over_control_update_norm,finite_gate,branch_skipped_flag,source_state_hash,result_hash
3,2026081103,2026081103,C,exact_scalar,real,0.6678680943655977,4.431778658238752e-16,0.1221013578519731,0.15773538384459448,0.15019933674936153,0.9522234839669347,0.991744763353528,0.019259704548727167,0.1221013578519731,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,378b50b59238c0a108804d2ee28890b04d35b400a00b64ed3efa8f5d9aad76c2
3,2026081103,2026081103,D,exact_scalar,reset,0.6678680943655977,4.431778658238752e-16,0.0033476178769398885,1.813132844372498,1.8127053495175611,0.9997642230924977,0.9999943940683832,0.006069675923088243,0.0033476178769398885,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,9e94bf7e5e2cb97176e331e56037c34da793609b20592faec414123502af851b
3,2026081104,2026081104,A,observed,real,0.8388668307122542,0.08281930938766938,0.07777713550551124,0.1565674434757466,0.15442389242093976,0.9863090882291956,0.9968859573542429,0.012177367266964617,0.07777713550551124,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,2bb01e79177457022e4b062db2c12ea1ecea117feddf8f1bf00c5ffdbfb5d05d
3,2026081104,2026081104,B,observed,reset,0.8388668307122542,0.08281930938766938,0.472673363519976,1.813371589768446,1.813237791170359,0.9999262155650602,0.8812189954355438,0.8571324486474174,0.472673363519976,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,d501a39a8e80bf42f2f02aba045bb30123d6eb5e82477d67e2a2b65323a5f92e
3,2026081104,2026081104,C,exact_scalar,real,0.8388668307122542,1.9980292472396286e-15,0.05655000801355999,0.1565674434757466,0.15296572532434036,0.9769957401650734,0.998323458861001,0.008853890183216072,0.05655000801355999,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,02f9c38a21152e6f9807d7c160cc6e3524f5f3f260e68c97ed5b52c948291aff
3,2026081104,2026081104,D,exact_scalar,reset,0.8388668307122542,1.9980292472396286e-15,0.001470809307957167,1.813371589768446,1.8131904937957393,0.9999001330043283,0.999998918143332,0.0026671238130165156,0.001470809307957167,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,89e636837b8fe562e06e876c0a7abaa5e32fb55d866b6fa3032507995d23c33c
3,2026081105,2026081105,A,observed,real,0.9403041121204375,0.24560814847247037,0.09410390362420265,0.155716368249175,0.1537395623934153,0.9873050863054009,0.9954472660227455,0.014653518110431215,0.09410390362420265,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,525e9847294e76bd630f58bcf8e809f65499a3873690a8944e7c0d25b85edbf1
3,2026081105,2026081105,B,observed,reset,0.9403041121204375,0.24560814847247037,0.5341274462409098,1.8134434784829165,1.813349449799224,0.9999481490960108,0.8453864699422431,0.9686099340643124,0.5341274462409098,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,c4c5533e734b76e3808c0fbc9d79f6d00d70003f313420bc2d43069b6b4adb17
3,2026081105,2026081105,C,exact_scalar,real,0.9403041121204375,8.87243788034346e-16,0.020766938458596437,0.155716368249175,0.15439229197476226,0.9914968715922402,0.9997806286549151,0.0032337522364267574,0.020766938458596437,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,6c9bdd7f7c206c663ab5d74cd99ffc5ef2d9a84bc2996188da2b5dfdf30ee007
3,2026081105,2026081105,D,exact_scalar,reset,0.9403041121204375,8.87243788034346e-16,0.0004998549902528834,1.8134434784829165,1.813381387747072,0.9999657608651268,0.9999998750639316,0.0009064587722612332,0.0004998549902528834,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,b081bad44fd72ef9dc09f50d1fcf829431464c64131eec21207369fe9a9a7aec
3,2026081106,2026081106,A,observed,real,0.7920355472378634,0.135652364631413,0.08640019008353102,0.1603708461774782,0.156866676876258,0.9781495865068752,0.996091244955426,0.01385607159359083,0.08640019008353102,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,5c61b254651dbe6562558736d77b713cfde4973100725b3b279c4147ac3eaaa4
3,2026081106,2026081106,B,observed,reset,0.7920355472378634,0.135652364631413,0.47714547876011726,1.8134631877237164,1.8133380366321223,0.9999309877959248,0.8788064434965808,0.8652857609202811,0.47714547876011726,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,dffb9d07f50738d7a9c075533317dcc5f54022bf6d6ab2e1796e38261e16d3de
3,2026081106,2026081106,C,exact_scalar,real,0.7920355472378634,5.595153096398617e-16,0.08143682775327893,0.1603708461774782,0.15442643320125116,0.9629333316003801,0.9964174034019867,0.013060092976802884,0.08143682775327893,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,920075c349444fc8cafd13e2be041ed64c48a7682940d94abd103d73714d036a
3,2026081106,2026081106,D,exact_scalar,reset,0.7920355472378634,5.595153096398617e-16,0.0019454620193121673,1.8134631877237164,1.8132256749226618,0.9998690280549049,0.9999981070911724,0.0035280237551372612,0.0019454620193121673,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,4ecdc568bb88f107490ef27041621bbe35320c2f5eb398f91abb97d0d54ebdda
3,2026081107,2026081107,A,observed,real,0.7514949325768412,0.12757562409623835,0.06927482227020544,0.15624785423856233,0.1540605653670127,0.9860011589777737,0.9975288282309948,0.010824042332477371,0.06927482227020544,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,3c4c41f117419217db4b56292158fa350f7cd11878f76e8bc3e769266baf8acf
3,2026081107,2026081107,B,observed,reset,0.7514949325768412,0.12757562409623835,0.4423732857439695,1.8133010872402253,1.8131912462112343,0.9999394248259355,0.8968177994968967,0.8021559600055708,0.4423732857439695,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,ce28cce37054569c660fcb72579012679ef64e27e6cbff70d28f3a5f6dfaa03a
3,2026081107,2026081107,C,exact_scalar,real,0.7514949325768412,0.0,0.08762183798341866,0.15624785423856233,0.15098257127867945,0.9663017262826296,0.9958803083286035,0.013690724169348124,0.08762183798341866,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,35f87b806688d6a8631189c067977e3756659ee23a475d1e65c2025849ff6adb
3,2026081107,2026081107,D,exact_scalar,reset,0.7514949325768412,0.0,0.0025787408988851464,1.8133010872402253,1.8129824422444392,0.9998242735318318,0.9999966738732841,0.004676033675659272,0.0025787408988851464,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,f2b32f6fb96665a98a6daea69dc0a003d1d893ba9418be08c0c123e107f735f8
3,2026081108,2026081108,A,observed,real,0.5749458551026081,0.5389550087887308,0.10829617834343658,0.1628100018848993,0.15991431011863477,0.9822142882332765,0.9939030908927806,0.0176317010002223,0.10829617834343658,True,False,591ec887cb3928d918da0e82f3ebfacff7c242628f6e9d856ef1f55505d78083,e8282f9e981b830ad3b0895249beab5c1dd1f32f7c962bb6f9c8b60880adc277
