seed,horizon,arm,branch_label,space,block,value_norm
4,1,A,B384_to_A,state,v,73479.26116531945
4,1,A,B384_to_A,state,net_buffer,1.4142135623730951
4,1,A,B384_to_A,state,scaler,128.0
4,1,A,B384_to_A,observable,residual,1.0484172125351912
4,1,A,B384_to_A,observable,feature,22.288000913584302
4,1,B,B384_to_B,state,theta,3962.302553089288
4,1,B,B384_to_B,state,EMA,3962.120059317253
4,1,B,B384_to_B,state,m,446.7929792185046
4,1,B,B384_to_B,state,v,73471.61627225498
4,1,B,B384_to_B,state,net_buffer,1.4142135623730951
4,1,B,B384_to_B,state,scaler,128.0
4,1,B,B384_to_B,observable,residual,1.0554772497239768
4,1,B,B384_to_B,observable,feature,22.293529627181876
4,1,C,B384_to_C,state,theta,3962.3025465731234
4,1,C,B384_to_C,state,EMA,3962.1200593158765
4,1,C,B384_to_C,state,m,453.60151898745875
4,1,C,B384_to_C,state,v,73477.77070938032
4,1,C,B384_to_C,state,net_buffer,1.4142135623730951
4,1,C,B384_to_C,state,scaler,128.0
4,1,C,B384_to_C,observable,residual,1.0716248902046859
4,1,C,B384_to_C,observable,feature,22.283798648548473
4,1,D,B384_to_D,state,theta,3962.3025544876514
4,1,D,B384_to_D,state,EMA,3962.1200593207323
4,1,D,B384_to_D,state,m,438.3491052429878
4,1,D,B384_to_D,state,v,73472.8562273542
4,1,D,B384_to_D,state,net_buffer,1.4142135623730951
4,1,D,B384_to_D,state,scaler,128.0
4,1,D,B384_to_D,observable,residual,1.0979771661019129
4,1,D,B384_to_D,observable,feature,22.28805674620554
4,4,A,B384_to_A,state,theta,3962.30179413621
4,4,A,B384_to_A,state,EMA,3962.120318956228
4,4,A,B384_to_A,state,m,585.5094309711026
4,4,A,B384_to_A,state,v,73613.43329629223
4,4,A,B384_to_A,state,net_buffer,1.4142135623730951
4,4,A,B384_to_A,state,scaler,128.0
4,4,A,B384_to_A,observable,residual,0.9922455821081677
4,4,A,B384_to_A,observable,feature,20.359595120259996
4,4,B,B384_to_B,state,theta,3962.301882383965
4,4,B,B384_to_B,state,EMA,3962.120319016916
4,4,B,B384_to_B,state,m,590.2319042096364
4,4,B,B384_to_B,state,v,73635.84073715241
4,4,B,B384_to_B,state,net_buffer,1.4142135623730951
4,4,B,B384_to_B,state,scaler,128.0
4,4,B,B384_to_B,observable,residual,0.957718857788392
4,4,B,B384_to_B,observable,feature,20.358234096658762
4,4,C,B384_to_C,state,theta,3962.301848888464
4,4,C,B384_to_C,state,EMA,3962.120319058539
4,4,C,B384_to_C,state,m,580.544241887562
4,4,C,B384_to_C,state,v,73632.35938405983
4,4,C,B384_to_C,state,net_buffer,1.4142135623730951
4,4,C,B384_to_C,state,scaler,128.0
4,4,C,B384_to_C,observable,residual,0.9975602896222875
4,4,C,B384_to_C,observable,feature,20.358735821816925
4,4,D,B384_to_D,state,theta,3962.301815161744
4,4,D,B384_to_D,state,EMA,3962.1203189870234
4,4,D,B384_to_D,state,m,534.0111405930572
