arm,k,next_k,space,block,coordinate_count,b_norm,R_norm,delta_norm,cos_b_R,cos_b_delta,cos_R_delta,R_over_b_diagnostic,closure_l2,closure_relative,closure_max_abs,closure_pass
D,4,5,observable,feature,49152,0.03693028367962252,0.037830286744137985,0.03731331894662456,-0.5020075596647342,0.48077185992063787,0.5170005161963603,1.0243703263241402,0.0,0.0,0.0,True
B,5,6,state,theta,55732739,0.0010134547159428569,0.012860012672115805,0.013100938402277527,0.20055069406786688,0.27421998888512444,0.997124123302001,12.689281987455777,0.0,0.0,0.0,True
B,5,6,state,EMA,55732771,1.1365036308999546e-05,7.786397621328372e-05,7.812859231408865e-05,-0.049657154390633146,0.09597680693596401,0.9893896531487025,6.851185873610114,0.0,0.0,0.0,True
B,5,6,state,m,55732739,4.590510248274553,7.869536373486507,10.507284063524638,0.37924552524195676,0.7209281349824966,0.9146480465950371,1.7143053708342009,0.0,0.0,0.0,True
B,5,6,state,v,55732739,1.4936962001707805,2.4144754254911915,3.8596299617146275,0.9477245570043257,0.9798747265170804,0.9923459070142531,1.616443440918665,0.0,0.0,0.0,True
B,5,6,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,5,6,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,5,6,observable,residual,393216,0.16175027980389176,0.19616794773779014,0.20267220331530852,-0.37139664358442454,0.4386105296192693,0.671500257526946,1.212782741245498,0.0,0.0,0.0,True
B,5,6,observable,feature,49152,0.03801286779027067,0.03912638104253965,0.037543503423904716,-0.5265685792896054,0.46373255887652276,0.5090094826719208,1.0292930609290674,0.0,0.0,0.0,True
C,5,6,state,theta,55732739,0.0007911710898307348,0.010583535359848588,0.010653638480016856,0.05152278493942422,0.12544674841199321,0.9972460317372637,13.377050167635495,0.0,0.0,0.0,True
C,5,6,state,EMA,55732771,9.935421864468653e-06,7.185520575493572e-05,7.193971690504389e-05,-0.060623970267255224,0.07755485074535715,0.9904526192295289,7.232224935702671,0.0,0.0,0.0,True
C,5,6,state,m,55732739,1.7050688447417064,6.04498118265114,6.47223671527098,0.11840326978524386,0.3740305691919548,0.9651789920381435,3.5453003562251286,0.0,0.0,0.0,True
C,5,6,state,v,55732739,0.1720755570334756,0.766212149638936,0.8688656711535344,0.5242331884745837,0.660343036139213,0.9856758023643908,4.452765766667703,0.0,0.0,0.0,True
C,5,6,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,5,6,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,5,6,observable,residual,393216,0.16668934380829875,0.1750323044461434,0.1715029276652496,-0.49712727725854766,0.46457522300852516,0.5374047316008874,1.0500509537516656,0.0,0.0,0.0,True
C,5,6,observable,feature,49152,0.03610089875062201,0.036726074872657645,0.036772485124154514,-0.4902022785286495,0.49215311680808127,0.5174883335712053,1.0173174669792637,0.0,0.0,0.0,True
D,5,6,state,theta,55732739,0.0006496810567174035,0.010358331151019874,0.010502687035566515,0.19238296643338415,0.2515972838095145,0.9981558704401851,15.94371737319334,0.0,0.0,0.0,True
D,5,6,state,EMA,55732771,9.080428078411836e-06,6.477633949465003e-05,6.498314391679523e-05,-0.04727952481756543,0.092606069281424,0.9902109576654669,7.133621778102272,0.0,0.0,0.0,True
D,5,6,state,m,55732739,4.571909532992367,6.925483924550233,7.5271920623460655,-0.19275155672470284,0.43004239810170314,0.8029875144407547,1.5147902368963595,0.0,0.0,0.0,True
D,5,6,state,v,55732739,1.5959265599372061,1.7292912932889029,3.1594447550389506,0.8052442062674431,0.9458713750384877,0.9540922988126458,1.0835657082848125,0.0,0.0,0.0,True
D,5,6,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,5,6,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,5,6,observable,residual,393216,0.1597681815489796,0.16962446423290306,0.17991189362903862,-0.4046044653452669,0.5065666535446798,0.583516422624925,1.0616911489407035,0.0,0.0,0.0,True
D,5,6,observable,feature,49152,0.035188605362988984,0.03645445818990866,0.03724092492606851,-0.46004675793574823,0.49455941540068454,0.544187729403008,1.0359733730240723,0.0,0.0,0.0,True
B,6,7,state,theta,55732739,0.0010218182437139877,0.01569028435900491,0.015898745068549682,0.1728026790813832,0.23480730085316767,0.9979943209756951,15.355259563555713,0.0,0.0,0.0,True
B,6,7,state,EMA,55732771,1.1464188126759026e-05,9.43183406445424e-05,9.452172619005857e-05,-0.0430138326921623,0.07836499713915897,0.9926312791394477,8.227215010925208,0.0,0.0,0.0,True
B,6,7,state,m,55732739,3.3791701523741358,8.479574722777,8.411922747554694,-0.2191939452063613,0.18075519246280622,0.9199895574176773,2.5093660101192077,0.0,0.0,0.0,True
B,6,7,state,v,55732739,0.6628575367523973,4.403894649409812,4.970827331532428,0.8350801112957382,0.873187113779338,0.997305571957158,6.64380263515784,0.0,0.0,0.0,True
B,6,7,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,6,7,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,6,7,observable,residual,393216,0.16873552913419768,0.18068100781355415,0.19775512672490025,-0.3609734428829293,0.5234477881535883,0.605657941257454,1.0707940926291586,0.0,0.0,0.0,True
B,6,7,observable,feature,49152,0.03518811209935188,0.03815737136719376,0.03751825894103178,-0.4791025608045551,0.45062906011528286,0.5676877699466828,1.0843824544908325,0.0,0.0,0.0,True
C,6,7,state,theta,55732739,0.0008363784579343383,0.012519405735148256,0.012588564002008728,0.049512872813912256,0.11568040656361812,0.9977958751574807,14.968589418321818,0.0,0.0,0.0,True
C,6,7,state,EMA,55732771,1.0162009420910976e-05,8.553650613052074e-05,8.559626606119747e-05,-0.05351881870089538,0.06523878802156115,0.9929480724068065,8.417282703409736,0.0,0.0,0.0,True
C,6,7,state,m,55732739,2.4444318396802562,6.405961804487745,6.600204392676665,-0.11012547130702773,0.2634724886271287,0.9297844780192227,2.620634251485481,0.0,0.0,0.0,True
C,6,7,state,v,55732739,0.30314405460346616,0.8033645721344645,1.030877613967324,0.6681122683005727,0.8147250166120733,0.9757694031265512,2.650108289886543,0.0,0.0,0.0,True
C,6,7,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,6,7,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
C,6,7,observable,residual,393216,0.15505472420028438,0.18928979323441067,0.20240940244238895,-0.32202468354996117,0.4648931190907433,0.6884973872720791,1.220793459926476,0.0,0.0,0.0,True
C,6,7,observable,feature,49152,0.03482202954123647,0.03842952232337909,0.038309709364857836,-0.45649888237908326,0.4510343679637051,0.5881878283395023,1.1035980047593321,0.0,0.0,0.0,True
D,6,7,state,theta,55732739,0.0008179830410114568,0.013362001246432874,0.013565663603489563,0.22027006931438586,0.2772611861593426,0.998268777952812,16.3353035166969,0.0,0.0,0.0,True
D,6,7,state,EMA,55732771,1.0079149477611361e-05,8.018762807740195e-05,8.040843275517732e-05,-0.04091004920235654,0.08455169979801443,0.9921259107144869,7.95579312079073,0.0,0.0,0.0,True
D,6,7,state,m,55732739,3.784687110136299,8.220618137448474,8.128243299270288,-0.2544651906852154,0.20826467490116932,0.8928801394189694,2.1720733836706576,0.0,0.0,0.0,True
D,6,7,state,v,55732739,0.8232633844247762,3.107241579353948,3.8191712316901745,0.8313577030281086,0.8919455033395726,0.9927986218985196,3.7742982842908948,0.0,0.0,0.0,True
D,6,7,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,6,7,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
D,6,7,observable,residual,393216,0.17062130857022392,0.17449364015552424,0.17728963232552752,-0.47238567858424063,0.49745160390872767,0.5296112146774882,1.0226954746611063,0.0,0.0,0.0,True
D,6,7,observable,feature,49152,0.03369886035910066,0.03735066537911206,0.03774027229422523,-0.4394928661801579,0.4579593184478246,0.5972467945424699,1.10836583139896,0.0,0.0,0.0,True
B,7,8,state,theta,55732739,0.001552328230607387,0.018509164041219925,0.01892247404871874,0.22729034316991437,0.30436202277230623,0.9968037587951752,11.923486074834672,0.0,0.0,0.0,True
B,7,8,state,EMA,55732771,1.3640496184978667e-05,0.00011226325046820379,0.00011257096757345879,-0.03816227500628884,0.08311445969766322,0.9926422461337743,8.230144193129245,0.0,0.0,0.0,True
B,7,8,state,m,55732739,4.417337045531848,7.5369054778844635,9.110140900832365,0.10027402296314415,0.5678389538431433,0.8759304297362707,1.706210189577467,0.0,0.0,0.0,True
B,7,8,state,v,55732739,0.317517049440055,4.833384638838244,5.089885545641802,0.7964225414020966,0.818669396337485,0.9992881625102324,15.222441274766108,0.0,0.0,0.0,True
B,7,8,state,net_buffer,32,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
B,7,8,state,scaler,1,0.0,0.0,0.0,,,,,0.0,0.0,0.0,True
