job_id,seed,arm,kimg,nfe,mid_t,fid50k_full,kid50k_full,samples,sample_seed_start,sample_seed_end,metric_seed,precision,source,fid_timestamp,kid_timestamp,status
seed4-armA-kimg000640-nfe2,4,A,640,2,0.821,4.1277248390791934,0.0015977771971971697,50000,0,49999,20260730,fp32,server-main,1787561759.9861727,1787561750.943201,SEALED_PASS
seed4-armA-kimg000768-nfe1,4,A,768,1,,8.8457621704511187,0.0052745987887887714,50000,0,49999,20260730,fp32,server-main,1787561761.797035,1787561749.7996614,SEALED_PASS
seed4-armA-kimg000768-nfe2,4,A,768,2,0.821,3.2277598731859025,0.0010934384209209385,50000,0,49999,20260730,fp32,server-main,1787561891.89033,1787561886.4722407,SEALED_PASS
seed4-armA-kimg000896-nfe1,4,A,896,1,,8.2287097277397905,0.0049595580855855952,50000,0,49999,20260730,fp32,server-main,1787561863.6263723,1787561858.1740537,SEALED_PASS
seed4-armA-kimg000896-nfe2,4,A,896,2,0.821,2.9706370692115964,0.0010337076376376127,50000,0,49999,20260730,fp32,server-main,1787562009.0352752,1787562003.829701,SEALED_PASS
seed4-armA-kimg001024-nfe1,4,A,1024,1,,8.16701217793773,0.005051615733233243,50000,0,49999,20260730,fp32,server-main,1787561937.2855446,1787561931.9420896,SEALED_PASS
seed4-armA-kimg001024-nfe2,4,A,1024,2,0.821,2.9170978657673303,0.0010394575275275155,50000,0,49999,20260730,fp32,server-main,1787562118.1995125,1787562110.241624,SEALED_PASS
seed4-armBsame-kimg000256-nfe1,4,Bsame,256,1,,250.36817917265373,0.25418821584084084,50000,0,49999,20260730,fp32,server-main,1787562808.10044,1787562803.0203936,SEALED_PASS
seed4-armBsame-kimg000256-nfe2,4,Bsame,256,2,0.821,46.14532486759115,0.035276068143143151,50000,0,49999,20260730,fp32,server-main,1787562978.6529825,1787562973.4906614,SEALED_PASS
seed4-armBsame-kimg000384-nfe1,4,Bsame,384,1,,121.31531557856428,0.1104040105005004,50000,0,49999,20260730,fp32,server-main,1787562919.1049533,1787562913.5927675,SEALED_PASS
