phase,label,gpu_index,elapsed_seconds,gpu_hours
evaluation,b6217f62e9c9dbd3961ef4a5,2,762.0436323629692,0.21167878676749144
evaluation,b7108f66d80ea9eb792115d7,5,243.397205715999,0.06761033492111083
evaluation,b929834feb943f277e98040b,3,242.67910558823496,0.0674108626633986
evaluation,b9fba2851dd55249118ffd3a,3,242.68411584477872,0.06741225440132742
evaluation,bad030ca876d24b66a5accf4,2,730.9449308803305,0.2030402585778696
evaluation,bc3cd904e8c20cab28561e70,0,273.53960013203323,0.07598322225889811
evaluation,bd191bbc83e5c6ed83cb7ed0,0,242.7325822720304,0.06742571729778622
evaluation,be4ca309dde693381e47dee7,4,700.841388694942,0.19467816352637277
evaluation,becd77025d01f74c8181c4c6,3,608.5840551946312,0.16905112644295311
evaluation,c19023f8aceffd04ce7dbf9a,2,242.68903389945626,0.06741362052762674
evaluation,c370d6fef97f59d16654e5b8,0,639.2548308363184,0.1775707863434218
evaluation,c3f91c1b33dda386a6a3f93e,0,242.99676300864667,0.06749910083573518
evaluation,c560c72aeb4b01b24f1192a6,2,243.28084547631443,0.06757801263230956
evaluation,c5e6b2cd2a3c29f3b10ee0ef,3,365.6791166430339,0.10157753240084276
evaluation,c6210af00bf45daa0ae0d08d,1,212.31307659950107,0.058975854610972524
evaluation,c69fac12e479aa40e2c2e059,4,242.74227280914783,0.06742840911365218
evaluation,c8cf7c7db169f0ef1a5fc461,4,578.1101553952321,0.16058615427645337
evaluation,c919f0c0b1ea5366bd6c2e79,5,333.62906286586076,0.09267473968496132
evaluation,c9e09281b1e5e2efbf5e8dd0,2,548.5399432526901,0.1523722064590806
evaluation,cc30679f5b7197bbfcf953dc,2,637.9945060731843,0.1772206961314401
evaluation,ccb03f88d7ff9d988321ae1e,2,335.1565814623609,0.09309905040621137
evaluation,cd117ca7dd2ef467404de98c,5,547.8464067131281,0.15217955742031336
evaluation,cd66e1cd1ae3bb17d57e8ed0,4,242.97763187345117,0.06749378663151422
evaluation,ce988b942883a8ecb7aa268c,1,243.27214023657143,0.06757559451015874
evaluation,d08d781f68449534481c3913,4,273.2518184520304,0.07590328290334178
evaluation,d0952c57af4bf3d61a2c13ac,5,242.79546184279025,0.06744318384521951
evaluation,d1a3f27e3d3e0492f1b6e8a0,3,730.3612069226801,0.20287811303407782
evaluation,d687f39c046722f71d7277be,0,304.20387946721166,0.08450107762978101
evaluation,d839c57e66155bf2313e3b96,0,640.9453014591709,0.17804036151643635
evaluation,d8c1704b669a01e41e707269,3,242.7341950777918,0.06742616529938661
evaluation,d92853ba185356cd1fec33f8,4,365.79186381492764,0.10160885105970212
evaluation,d965b3e44fd549cb84a2c025,1,333.56028493493795,0.09265563470414943
evaluation,d97630efb4f765395031a0cf,3,699.7006544517353,0.19436129290325982
evaluation,db05e2fa150335d6a5f29b3d,2,578.9107921887189,0.16080855338575525
evaluation,df51548052c37a38fc034e20,5,792.8438294101506,0.2202343970583752
evaluation,dfaad7259567167c0df44316,0,578.3871303433552,0.16066309176204313
evaluation,e198982d2d4695b5ddd56c10,4,577.916903084144,0.1605324730789289
